Property Name,Layout,Status,Block,Price
B-28-6,TYPE A,Hold,BLOCK B,679888
B-28-7,TYPE C,Hold,BLOCK B,673888
B-28-8,TYPE D,Signed,BLOCK B,676888
,,,,
,,,,
,,,,
B-29-3,TYPE A,Hold,BLOCK B,357888
,,,,
,,,,
B-29-6,TYPE B,Signed,BLOCK B,697888
B-29-7,TYPE A26,Signed,BLOCK B,673888
B-29-8,TYPE B26,Signed,BLOCK B,694888
B-29-9,TYPE A,Hold,BLOCK B,679888
,,,,
,,,,
,,,,
,,,,
,,,,
B-30-6,TYPE A,Hold,BLOCK B,679888
B-30-7,TYPE C,Hold,BLOCK B,673888
B-30-8,TYPE D,Hold,BLOCK B,676888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-31-8,TYPE B27,Hold,BLOCK B,681888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-32-7,TYPE C,Hold,BLOCK B,696888
B-32-8,TYPE D,Sold,BLOCK B,681888
B-32-9,TYPE B,Signed,BLOCK B,702888
,,,,
,,,,
,,,,
,,,,
,,,,
B-33-6,TYPE B,Hold,BLOCK B,684888
B-33-7,TYPE A28,Hold,BLOCK B,678888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-38-7,TYPE C,Hold,BLOCK B,701888
B-38-8,TYPE D,Hold,BLOCK B,686888
B-38-9,TYPE B,Hold,BLOCK B,707888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-39-8,TYPE B30,Hold,BLOCK B,686888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-40-8,TYPE D,Hold,BLOCK B,686888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-41-6,TYPE B,Hold,BLOCK B,712888
,,,,
B-41-8,TYPE B31,Hold,BLOCK B,709888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-43A-7,TYPE C,Hold,BLOCK B,706888
,,,,
B-43A-9,TYPE B,Hold,BLOCK B,712888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-47-6,TYPE B,Hold,BLOCK B,717888
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
B-8-1,TYPE C,Hold,BLOCK B,348888
,,,,
,,,,
,,,,
,,,,
B-8-6,TYPE A,Signed,BLOCK B,759888
B-8-7,TYPE C,Hold,BLOCK B,753888
B-8-8,TYPE D,Hold,BLOCK B,756888
B-8-9,TYPE B,Hold,BLOCK B,759888
B-9-1,TYPE A36,Hold,BLOCK B,346888
,,,,
B-9-3,TYPE A,Signed,BLOCK B,340888
,,,,
,,,,
B-9-6,TYPE B,Signed,BLOCK B,662888
B-9-7,TYPE A36,Hold,BLOCK B,656888
B-9-8,TYPE B36,Signed,BLOCK B,659888
B-9-9,TYPE A,Hold,BLOCK B,662888
